UADMDGDSD	UNIVERSIDAD AUTONOMA DE  MEXICO, DIRECCION GENERAL DE SERVICIOS DE COMPUTO ACADEMICO, (DGSCA)	EDUCACION  	INSURGENTES EN EL TERCER CIRCUITO EN LA ZONA CENTRO CULTURAL, (OTRA ENTRADA POR LA AV. UNIVERSIDAD), ENFRENTE  A LAS FACULTADES DE CONTADURIA Y ADMINISTRACION.	DISTRITO FEDERAL		55-22-88-50	56-22-83-59	GUSTAVO GUTIERREZ		si		si 	
UMSDCQE.E	UQUIFA MEXICO S.A DE C.V	SERVICIOS 	CALLE 37 ESTE, NO  126, COL.CIVAC. JIUTEPEC MORELOS, CUERNAVACA MORELOS. 	MORELOS		01-(777)-329-50-23	01-(777)-329-50-28	LIC: ORLANDO BELLO  GAMBOA, JEFE DE RECURSOS HUMANOS. 	
VLRSDCIOE	VIDRIERA LOS REYES, S.A DE C.V. SOLO HAY VISITAS LOS SABADOS DE 9:00 A 11:00 A.M. 	FIBRAS DE VIDRIO 	AV. PRESIDENTE JUAREZ, NO. 2039. LOS REYES IZTACALA, TLALNEPLANTA, ESTADO DE MEXICO.    	ESTADO DE MEXICO		50-89-96-92	50-89-96-92		
YSDCA.E.K	YAKULT,  S.A DE C.V 	ALIMENTOS 	ENTRAR POR LA PUERTA SUR, UBICADA EN CARRETERA FEDERAL MEXICO – CUAUTLA, KM. 30 IXTAPALUCA,  ESTADO DE MEXICO. 	ESTADO DE MEXICO		59-72-04-29 Y 59-72-04-87	59-72-04-29 Y 59-72-04-87	SR. JORGE  ORTIZ, DEPARTAMENTO DE VISITAS, ISRAEL XACALCO	
YDMSDCAEE	YAMAHA DE MEXICO S.A DE C.V.  	INSTRUMENTOS MUSICALES 	INSURGENTES NO. 1208, COL.DEL VALLE. 	DISTRITO FEDERAL		55-59-25-59	55-59-44-34	LIC. ALFREDO BARRERA, GERENTE DE ACADEMIA	
ZAYMDTORU	ZONA ARQUEOLOGICA Y MUSEO DE TEOTIHUACAN. 	CULTURAL 	SAN JUAN TEOTIHUACAN, ESTADO DE MEXICO. 	ESTADO DE MEXICO		01 (594) 956 00 52	01 (594)-956 -02-76	ALEJANDRA MARTINEZ	
TAVZTECAX	TV AZTECA 	COMUNICACION 	PERIFERICO SUR NO. 4121 COL. FUENTES DEL PEDREGAL, DELEGACION TLALPAN, DF,  ENTRADA POR LA PUERTA 8.  	DISTRITO FEDERAL		17-20-13-13	56-30-50-71	SRITA. ANA GOMEZ SECRETARIA. CON ATENCION A SR: EDUARDO MIGUEL CAMPO BORGUE,  RELACIONES PUBLICAS 	
BSDVPRMA.	BARCEL S.A DE C.V. PLANTA RICOLINO MEXICO	MANUFACTURERA	CALLE 4,  N.320-A , COL. ARENAL, DELEGACION AZCAPOTZALCO, MEXICO, DF.	DISTRITO FEDERAL	02980	53-28-04-61	53-28-04-77	BIOLOGA LAURA OLIVIA  ANGELES DORANTES,  COORDINADORA DE VISITAS ESCOLARES	visitasescolaresrm@grupobimbo.com
TDADMSDC(	TUBOS DE ACERO DE MEXICO, S.A DE C.V (TAMSA)	PROCESO DE ACERO	KM 4337, CARRETERA MEXICO, VERACRUZ, VIA XALAPA.	VERACRUZ		01 (229)  989-11-00 	01 (229)  989-11-00 	LIC. LORENA VICHIQUE GASPERIN	
UDMSDCHHN	UNILEVER DE MEXICO, S.A DE C.V.  HELADOS HOLANDA	RELACIONES PUBLICAS	AV. TEPALCAPA NO. 2, COL. RANCHO SANTO DOMINGO TULTITLAN, ESTADO DE MEXICO.  	ESTADO DE MEXICO		56-62-41-3. Ext. 201	56-62-27-59	ANGELICA NAZAR ROCHA	
SCDTPS(PT	SOCIEDAD COOPERATIVA DE TRABAJADORES PASCUAL SCL (PASCUAL BOING) PLANTA TIZAYUCA.	EMBOTELLADORA DE BEBIDAS	CALLE DELICIAS NO. 7. COL. TEPAJOCO TEMAXCALAPA EN TIZAYUCA, HIDALGO.  	HIDALGO		79-69-92-10	79-69-92-10	LIC. JENNY MARTINEZ ROA. ASISTENCIA DE GERENCIA	
SCDTPS(PD	SOCIEDAD COOPERATIVA DE TRABAJADORES PASCUAL SCL (PASCUAL BOING) PLANTA  DF.	EMBOTELLADORA DE BEBIDAS	CLAVIJERO NO. 75. COL. TRANSITO, DELEGACION CUAUHTEMOC. 	DISTRITO FEDERAL		57-41-07-49	57-40-89-41	PATRICIA LOPEZ BAZAN 	
SIDRHONEE	SOCIEDAD INDUSTRIAL DE RECURSOS HUMANOS.	FABRICACION Y VENTA DE MAQUINAS Y EMBASADO. 	AV. DEL RECREO NO 7 A, COL. ZAPOTLA. 	DISTRITO FEDERAL		55-79-33-66	55-90-46-23	LIC. JOSE CARLOS NAVA GALEANA. JEFE DEL DEPARTAMENTO DE RECURSOS HUMANOS.	
TMDAAEEVL	TALLERES MEXICANA DE AVIACION 	TALLERES 	AV. 602, AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO.	DISTRITO FEDERAL		57-86-65-11	57-84-30-50	VIKY ESCUDERO 	
TSATCEANE	TELEVISA SAN ANGEL, TELEVISA CHAPULTEPEC	COMUNICACION 	BOULEVARD ADOLFO LOPEZ MATEOS NO. 2551, COL. LOMAS DE SAN ANGELIN, CP. 01790, MEXICO, DF.	DISTRITO FEDERAL	01790	57-28- 39-99	57-28-40-06	LIC. ALBA NELLY SOSA	
SDMSDCAEE	SANDVIK DE MEXICO S.A  DE C.V.  	EQUIPO INDUSTRIAL 	GUSTAVO BAZ NO.352, COL. LA LOMA, CP 54060, TLALNEPANTLA ESTADO DE MEXICO. 	ESTADO DE MEXICO		57-29-39-00	53-98-90-43	LIC. RAUL ROJO FRANCO, JEFE DE RELACIONES LABORALES 	
